word	x	y	nearest
请原谅	35.3606368605	29.7740244014	0.508
棒极了	2.86458582449	18.6007272879	0.642
忙碌	80.7128618049	-5.38830221631	0.512
少	-57.5529780079	-18.955226845	0.497
小	30.9278082918	-11.5418286309	0.544
婚姻生活	88.6734789939	-6.3521700179	0.560
该	-50.2036147921	-1.2497695684	0.552
原本	-17.7195900055	-2.35202900758	0.531
以后	-38.4204016317	1.32797704228	0.608
飞蛾扑火	31.4364810558	19.168055114	0.495
我心	54.2974005955	11.4284863462	0.630
将	-41.9757066065	14.0196254396	0.671
笑	36.8059074369	26.5852008686	0.530
两人过	7.12733441844	26.8621548272	0.641
双亲	102.511537553	-0.961095651523	0.696
取代	-26.6560058343	-14.2472259564	0.496
叫住	0.815362732484	44.6811531824	0.590
痛苦	22.7451610239	36.3870639051	0.548
尽	36.0692201365	20.5253824509	0.531
惊讶	-6.92350675152	66.6578066835	0.684
来信	48.3444956854	-76.4433031604	0.511
地家裁	11.874480698	-23.2609768666	0.603
游子	47.1402940961	5.40371418271	0.405
就	-32.1717788769	3.49449881631	0.701
投稿	42.2452611102	-67.7115814458	0.560
一个	-54.9850692519	-10.4773666711	0.619
借此	-26.9277458298	-7.15171529027	0.542
透支	-12.6778176597	-38.5688554726	0.574
母亲	99.3228671978	-4.70926822889	0.849
试图	-39.8745268267	21.3773883262	0.614
赐给	20.3914509914	-94.8380391355	0.626
幸福	53.4050342549	24.2929044257	0.613
巧手	13.1345717836	-7.91339039312	0.468
发现	-30.1646418111	55.8802983363	0.524
陡峭	-27.6453813025	-48.2774757374	0.678
爱	51.9242922104	31.5279154699	0.712
袍料	6.46579792236	-82.6489501847	0.718
得到	-48.3165699082	21.2459198163	0.648
温柔	-19.6875685587	76.4970769579	0.584
冤气	41.2547094461	26.496513827	0.624
公妈	16.1972080273	-48.4098454252	0.486
这一	-60.1869283332	8.92635249073	0.667
写出	49.039560045	-71.330303779	0.572
一句	-92.5658169481	-9.60395132461	0.518
初服	18.4672797121	-43.2963853555	0.467
感动	17.2125289066	35.5670580715	0.544
身旁	6.03058245709	48.7882131046	0.678
红外线	-23.1396738644	-0.430458219721	0.578
愿	37.6676833314	36.2092344104	0.466
心语	50.454888472	10.8247754448	0.547
写信给	35.5851716195	-83.0623578322	0.676
父母亲	101.733416964	-0.515606911283	0.680
认识	1.65516679011	31.0758654231	0.557
身边	6.09908829495	49.3906815215	0.678
请	25.9021297004	60.509458959	0.547
小说	45.9374054578	-61.8873697934	0.595
著	-22.7141853295	33.9404948325	0.695
少年心	51.034651347	13.5286089404	0.547
得	-2.35267090241	-3.41620105498	0.527
大爱	57.10681915	2.56304279783	0.628
爇	20.2261324222	-47.5514600016	0.662
害怕	-6.62071638279	58.1655422337	0.669
波澜	27.4793055379	-5.523624318	0.413
生活	83.378838927	-14.5250315059	0.536
礼貌	-23.6304617039	77.1049805561	0.677
天涯海角	48.4425320892	13.6873997939	0.520
比较文学	51.1217374672	-57.4626079506	0.635
填	23.6028959104	-16.2163897747	0.499
一定	-79.7654138813	27.4495667307	0.567
儿子	100.830604494	-6.48143550838	0.829
哪敢	6.59252864836	-8.1568604065	0.522
顽皮	66.1603599615	-15.9750254616	0.542
直到	-38.2406031631	-0.918516355372	0.771
有时候	-28.8324375633	78.6107221503	0.752
只要	-80.6999277332	24.553655239	0.688
天涯	55.1532623004	-10.5693451546	0.585
用尽	-63.7024089863	-54.0999058451	0.604
回答	25.0849965723	62.165730317	0.547
眼泪	54.0887165594	31.5505928485	0.599
都	-52.9391587333	4.09070377222	0.562
三日	11.408058296	-64.9542333933	0.545
适应环境	-26.6973320215	-28.5778266056	0.495
哭	44.2293287073	47.0111883504	0.530
用牌	0.260061880185	-26.3960964951	0.494
平鑫涛	45.0906751322	-47.5468580707	0.643
亲临	30.013408219	-81.5890031019	0.528
不论	-34.556073937	-88.8567718997	0.727
然后	-36.539868795	10.0904196402	0.606
每件事	-0.538939726618	22.2782740978	0.576
来	-20.8170357625	-14.7038117979	0.476
领放	-8.65306408542	-14.9093106868	0.519
看到	-28.3182136086	58.0915864001	0.708
一向	-14.7562373204	15.7958070394	0.467
陈子	41.1228923594	-20.9361281548	0.620
小玩意儿	1.05116474516	-25.8028870702	0.494
不得不	-11.7210222434	50.5422839031	0.714
不计	-8.78387960538	-36.3627080801	0.448
似的	-25.9510129217	27.0769647681	0.526
北路	-11.0298316322	-95.966643465	0.666
超人	47.0120593704	-8.70332088472	0.433
比	-81.0334930088	29.7933843083	0.571
真情流露	63.3860042764	19.3717442107	0.670
为	-26.0843601433	-10.491617672	0.467
小朋友	23.6143477987	11.3393976607	0.534
后辈	53.6807795642	61.8417202179	0.664
缺乏	-79.8574677653	-2.46860938797	0.688
不能	-81.9803348055	19.6173605264	0.554
瞒	5.86561527247	50.7399611042	0.470
邹志良	38.2885958347	-13.5082498249	0.639
急命	11.413295157	-43.7108771907	0.623
由涂	21.3525645291	-27.4796092639	0.423
代价	-46.752501265	69.4611747464	0.598
每	-98.8528349461	-0.14410387011	0.573
小人物	80.4881859245	21.8004478587	0.540
图片	-32.6171548321	-65.4115209809	0.561
衣摆	2.46593852675	-29.5198907767	0.540
焦急	-4.31430132525	51.9295580053	0.617
与你同在	35.7729302283	35.4574844142	0.466
天空海阔	37.2039447105	23.095408044	0.537
耗尽	-63.7109234272	-54.098743279	0.604
邵宗其	-1.50022244405	-14.7759820638	0.505
失去知觉	-23.3192739458	47.0550259578	0.578
思亲	14.7916770222	-48.9027815109	0.486
日祁	0.886512490754	-9.65267737118	0.557
大部分	-49.7615172254	-17.0233513434	0.548
与	-42.1445741427	-32.3684201145	0.684
说	23.9576848453	60.8785537496	0.650
下	-3.9938552224	-13.3927171353	0.536
上	-33.2722479617	-12.5216691738	0.424
